2022-10-07 08:54:45 install libaudit-common:all <none> 1:3.0-2
2022-10-07 08:54:45 status half-installed libaudit-common:all 1:3.0-2
2022-10-07 08:54:45 status unpacked libaudit-common:all 1:3.0-2
2022-10-07 08:54:45 install libaudit1:amd64 <none> 1:3.0-2
2022-10-07 08:54:45 status half-installed libaudit1:amd64 1:3.0-2
2022-10-07 08:54:45 status unpacked libaudit1:amd64 1:3.0-2
2022-10-07 08:54:45 upgrade base-files:amd64 11.1+deb11u5 11.1+deb11u5
2022-10-07 08:54:45 status half-configured base-files:amd64 11.1+deb11u5
2022-10-07 08:54:45 status unpacked base-files:amd64 11.1+deb11u5
2022-10-07 08:54:45 status half-installed base-files:amd64 11.1+deb11u5
2022-10-07 08:54:45 status unpacked base-files:amd64 11.1+deb11u5
2022-10-07 08:54:45 upgrade base-passwd:amd64 3.5.51 3.5.51
2022-10-07 08:54:45 status half-configured base-passwd:amd64 3.5.51
2022-10-07 08:54:45 status unpacked base-passwd:amd64 3.5.51
2022-10-07 08:54:45 status half-installed base-passwd:amd64 3.5.51
2022-10-07 08:54:45 status unpacked base-passwd:amd64 3.5.51
2022-10-07 08:54:45 install bash:amd64 <none> 5.1-2+deb11u1
2022-10-07 08:54:45 status half-installed bash:amd64 5.1-2+deb11u1
2022-10-07 08:54:45 status unpacked bash:amd64 5.1-2+deb11u1
2022-10-07 08:54:45 install libbz2-1.0:amd64 <none> 1.0.8-4
2022-10-07 08:54:45 status half-installed libbz2-1.0:amd64 1.0.8-4
2022-10-07 08:54:45 status unpacked libbz2-1.0:amd64 1.0.8-4
2022-10-07 08:54:45 install libdebconfclient0:amd64 <none> 0.260
2022-10-07 08:54:45 status half-installed libdebconfclient0:amd64 0.260
2022-10-07 08:54:46 status unpacked libdebconfclient0:amd64 0.260
2022-10-07 08:54:46 install coreutils:amd64 <none> 8.32-4+b1
2022-10-07 08:54:46 status half-installed coreutils:amd64 8.32-4+b1
2022-10-07 08:54:46 status unpacked coreutils:amd64 8.32-4+b1
2022-10-07 08:54:46 install dash:amd64 <none> 0.5.11+git20200708+dd9ef66-5
2022-10-07 08:54:46 status half-installed dash:amd64 0.5.11+git20200708+dd9ef66-5
2022-10-07 08:54:46 status unpacked dash:amd64 0.5.11+git20200708+dd9ef66-5
2022-10-07 08:54:47 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.8
2022-10-07 08:54:47 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.8
2022-10-07 08:54:47 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.8
2022-10-07 08:54:47 upgrade debconf:all 1.5.77 1.5.77
2022-10-07 08:54:47 status half-configured debconf:all 1.5.77
2022-10-07 08:54:47 status unpacked debconf:all 1.5.77
2022-10-07 08:54:47 status half-installed debconf:all 1.5.77
2022-10-07 08:54:47 status unpacked debconf:all 1.5.77
2022-10-07 08:54:47 install debian-archive-keyring:all <none> 2021.1.1
2022-10-07 08:54:47 status half-installed debian-archive-keyring:all 2021.1.1
